Month	Day	Time	Height	Discharge
		(mst)	(HG ft)	(QR cfs)
-----	---	----	------	---------
Dec	31	1400	M	M
Dec	31	1330	M	M
Dec	31	1300	M	M
Dec	31	1230	M	M
Dec	31	1200	M	M
Dec	31	1130	M	M
Dec	31	1100	M	M
Dec	31	1030	M	M
Dec	31	1000	M	M
Dec	31	930	M	M
Dec	31	900	M	M
Dec	31	830	M	M
Dec	31	800	M	M
Dec	31	730	M	M
Dec	31	700	M	M
Dec	31	630	M	M
Dec	31	600	M	M
Dec	31	530	M	M
Dec	31	500	M	M
Dec	31	430	M	M
Dec	31	400	M	M
Dec	31	330	M	M
Dec	31	300	M	M
Dec	31	230	M	M
Dec	31	200	M	M
Dec	31	130	M	M
Dec	31	100	M	M
Dec	31	30	M	M
Dec	31	0	M	M
Dec	30	2330	M	M
Dec	30	2300	M	M
Dec	30	2230	M	M
Dec	30	2200	M	M
Dec	30	2130	M	M
Dec	30	2100	M	M
Dec	30	2030	M	M
Dec	30	2000	M	M
Dec	30	1930	M	M
Dec	30	1900	M	M
Dec	30	1830	M	M
Dec	30	1800	M	M
Dec	30	1730	M	M
Dec	30	1700	M	M
Dec	30	1630	M	M
Dec	30	1600	M	M
Dec	30	1530	M	M
Dec	30	1500	M	M
Dec	30	1430	M	M
Dec	30	1400	5.09	3
Dec	30	1330	5.08	4
Dec	30	1300	5.1	3
Dec	30	1230	5.1	3
Dec	30	1200	5.09	3
Dec	30	1130	5.1	3
Dec	30	1100	5.09	3
Dec	30	1030	5.09	3
Dec	30	1000	5.09	4
Dec	30	930	5.1	3
Dec	30	900	5.09	3
Dec	30	830	5.09	4
Dec	30	800	5.09	2
Dec	30	730	5.09	4
Dec	30	700	5.09	3
Dec	30	630	5.1	3
Dec	30	600	5.09	3
Dec	30	530	5.09	3
Dec	30	500	5.1	3
Dec	30	430	5.09	4
Dec	30	400	5.09	3
Dec	30	330	5.09	3
Dec	30	300	5.09	2
Dec	30	230	5.09	3
Dec	30	200	5.09	3
Dec	30	130	5.1	4
Dec	30	100	5.11	3
Dec	30	30	5.09	3
Dec	30	0	5.09	4
Dec	29	2330	5.1	3
Dec	29	2300	5.09	2
Dec	29	2230	5.1	2
Dec	29	2200	5.1	3
Dec	29	2130	5.1	2
Dec	29	2100	5.1	2
Dec	29	2030	5.1	4
Dec	29	2000	5.1	3
Dec	29	1930	5.1	3
Dec	29	1900	5.1	4
Dec	29	1830	5.12	2
Dec	29	1800	5.13	2
Dec	29	1730	5.14	3
Dec	29	1700	5.15	2
Dec	29	1630	5.17	3
Dec	29	1600	5.17	2
Dec	29	1530	5.16	2
Dec	29	1500	5.16	3
Dec	29	1430	5.17	3
Dec	29	1400	5.16	3
Dec	29	1330	5.16	6
Dec	29	1300	5.17	4
Dec	29	1230	5.17	4
Dec	29	1200	5.16	7
Dec	29	1130	5.16	6
Dec	29	1100	5.17	5
Dec	29	1030	5.16	3
Dec	29	1000	5.15	4
Dec	29	930	5.15	6
Dec	29	900	5.17	5
Dec	29	830	5.16	4
Dec	29	800	5.16	5
Dec	29	730	5.17	5
Dec	29	700	5.16	3
Dec	29	630	5.17	4
Dec	29	600	5.17	5
Dec	29	530	5.17	4
Dec	29	500	5.16	5
Dec	29	430	5.16	4
Dec	29	400	5.17	5
Dec	29	330	5.15	3
Dec	29	300	5.16	5
Dec	29	230	5.16	2
Dec	29	200	5.16	2
Dec	29	130	5.16	4
Dec	29	100	5.16	4
Dec	29	30	5.16	3
Dec	29	0	5.16	5
Dec	28	2330	5.16	5
Dec	28	2300	5.15	3
Dec	28	2230	5.16	3
Dec	28	2200	5.16	2
Dec	28	2130	5.16	3
Dec	28	2100	5.15	3
Dec	28	2030	5.16	2
Dec	28	2000	5.16	2
Dec	28	1930	5.12	2
Dec	28	1900	5.12	3
Dec	28	1830	5.12	2
Dec	28	1800	5.12	3
Dec	28	1730	5.12	2
Dec	28	1700	5.12	2
Dec	28	1630	5.12	2
Dec	28	1600	5.12	2
Dec	28	1530	5.12	3
Dec	28	1500	5.12	2
Dec	28	1430	5.12	3
Dec	28	1400	5.12	4
Dec	28	1330	5.12	2
Dec	28	1300	5.12	4
Dec	28	1230	5.12	2
Dec	28	1200	5.12	3
Dec	28	1130	5.12	3
Dec	28	1100	5.12	3
Dec	28	1030	5.12	4
Dec	28	1000	5.12	4
Dec	28	930	5.11	4
Dec	28	900	5.12	3
Dec	28	830	5.12	3
Dec	28	800	5.12	3
Dec	28	730	5.12	2
Dec	28	700	5.11	2
Dec	28	630	5.12	2
Dec	28	600	5.12	3
Dec	28	530	5.12	3
Dec	28	500	5.11	2
Dec	28	430	5.12	3
Dec	28	400	5.12	3
Dec	28	330	5.11	2
Dec	28	300	5.12	3
Dec	28	230	5.12	2
Dec	28	200	5.11	2
Dec	28	130	5.11	3
Dec	28	100	5.12	3
Dec	28	30	5.12	3
Dec	28	0	5.12	2
Dec	27	2330	5.12	2
Dec	27	2300	5.13	2
Dec	27	2230	5.12	3
Dec	27	2200	5.12	3
Dec	27	2130	5.12	2
Dec	27	2100	5.12	2
Dec	27	2030	5.13	2
Dec	27	2000	5.13	3
Dec	27	1930	5.12	2
Dec	27	1900	5.12	2
Dec	27	1830	5.12	2
Dec	27	1800	5.12	2
Dec	27	1730	5.12	2
Dec	27	1700	5.12	2
Dec	27	1630	5.12	2
Dec	27	1600	5.12	2
Dec	27	1530	5.11	2
Dec	27	1500	5.12	2
Dec	27	1430	5.12	2
Dec	27	1400	5.11	2
Dec	27	1330	5.11	3
Dec	27	1300	5.12	2
Dec	27	1230	5.12	2
Dec	27	1200	5.12	3
Dec	27	1130	5.12	2
Dec	27	1100	5.12	2
Dec	27	1030	5.13	3
Dec	27	1000	5.12	3
Dec	27	930	5.11	3
Dec	27	900	5.12	2
Dec	27	830	5.12	3
Dec	27	800	5.12	3
Dec	27	730	5.12	3
Dec	27	700	5.11	2
Dec	27	630	5.12	3
Dec	27	600	5.12	2
Dec	27	530	5.12	2
Dec	27	500	5.12	2
Dec	27	430	5.12	2
Dec	27	400	5.13	3
Dec	27	330	5.12	2
Dec	27	300	5.12	3
Dec	27	230	5.12	3
Dec	27	200	5.11	3
Dec	27	130	5.11	2
Dec	27	100	5.12	2
Dec	27	30	5.11	3
Dec	27	0	5.12	2
Dec	26	2330	5.12	2
Dec	26	2300	5.12	2
Dec	26	2230	5.11	2
Dec	26	2200	5.12	2
Dec	26	2130	5.12	2
Dec	26	2100	5.11	3
Dec	26	2030	5.11	2
Dec	26	2000	5.12	2
Dec	26	1930	5.12	2
Dec	26	1900	5.12	2
Dec	26	1830	5.12	2
Dec	26	1800	5.13	2
Dec	26	1730	5.12	2
Dec	26	1700	5.12	2
Dec	26	1630	5.13	3
Dec	26	1600	5.12	2
Dec	26	1530	5.12	2
Dec	26	1500	5.13	2
Dec	26	1430	5.12	2
Dec	26	1400	5.12	2
Dec	26	1330	5.12	3
Dec	26	1300	5.12	2
Dec	26	1230	5.12	3
Dec	26	1200	5.11	2
Dec	26	1130	5.12	2
Dec	26	1100	5.12	2
Dec	26	1030	5.12	2
Dec	26	1000	5.12	3
Dec	26	930	5.12	3
Dec	26	900	5.12	3
Dec	26	830	5.11	3
Dec	26	800	5.12	3
Dec	26	730	5.12	3
Dec	26	700	5.12	3
Dec	26	630	5.12	3
Dec	26	600	5.12	3
Dec	26	530	5.12	3
Dec	26	500	5.12	3
Dec	26	430	5.12	2
Dec	26	400	5.12	3
Dec	26	330	5.12	3
Dec	26	300	5.11	3
Dec	26	230	5.12	3
Dec	26	200	5.12	2
Dec	26	130	5.12	3
Dec	26	100	5.12	2
Dec	26	30	5.12	2
Dec	26	0	5.12	3
Dec	25	2330	5.12	2
Dec	25	2300	5.12	2
Dec	25	2230	5.12	3
Dec	25	2200	5.12	2
Dec	25	2130	5.12	2
Dec	25	2100	5.12	2
Dec	25	2030	5.12	3
Dec	25	2000	5.13	2
Dec	25	1930	5.12	3
Dec	25	1900	5.12	3
Dec	25	1830	5.13	2
Dec	25	1800	5.12	2
Dec	25	1730	5.12	3
Dec	25	1700	5.11	2
Dec	25	1630	5.12	2
Dec	25	1600	5.12	3
Dec	25	1530	5.12	2
Dec	25	1500	5.12	4
Dec	25	1430	5.13	4
Dec	25	1400	5.11	3
Dec	25	1330	5.12	3
Dec	25	1300	5.12	3
Dec	25	1230	5.12	3
Dec	25	1200	5.12	3
Dec	25	1130	5.12	3
Dec	25	1100	5.12	3
Dec	25	1030	5.12	3
Dec	25	1000	5.12	3
Dec	25	930	5.12	3
Dec	25	900	5.12	2
Dec	25	830	5.12	3
Dec	25	800	5.13	2
Dec	25	730	5.13	2
Dec	25	700	5.14	3
Dec	25	630	5.13	3
Dec	25	600	5.13	2
Dec	25	530	5.12	2
Dec	25	500	5.13	2
Dec	25	430	5.13	2
Dec	25	400	5.13	2
Dec	25	330	5.13	3
Dec	25	300	5.12	2
Dec	25	230	5.12	2
Dec	25	200	5.12	2
Dec	25	130	5.13	2
Dec	25	100	5.13	2
Dec	25	30	5.12	2
Dec	25	0	5.12	2
