Month	Day	Time	Height	Discharge
		(mst)	(HG ft)	(QR cfs)
-----	---	----	------	---------
Dec	31	1600	M	0
Dec	31	1530	M	0
Dec	31	1500	M	0
Dec	31	1430	M	0
Dec	31	1400	M	0
Dec	31	1330	M	0
Dec	31	1300	M	0
Dec	31	1230	M	0
Dec	31	1200	M	0
Dec	31	1130	M	0
Dec	31	1100	M	0
Dec	31	1030	M	0
Dec	31	1000	M	0
Dec	31	930	M	0
Dec	31	900	M	0
Dec	31	830	M	0
Dec	31	800	M	0
Dec	31	730	M	0
Dec	31	700	M	0
Dec	31	630	M	0
Dec	31	600	M	0
Dec	31	530	M	0
Dec	31	500	M	0
Dec	31	430	M	0
Dec	31	400	M	0
Dec	31	330	M	0
Dec	31	300	M	0
Dec	31	230	M	0
Dec	31	200	M	0
Dec	31	130	M	0
Dec	31	100	M	0
Dec	31	30	M	0
Dec	31	0	M	0
Dec	30	2330	M	0
Dec	30	2300	M	0
Dec	30	2230	M	0
Dec	30	2200	M	0
Dec	30	2130	M	0
Dec	30	2100	M	0
Dec	30	2030	M	0
Dec	30	2000	M	0
Dec	30	1930	M	0
Dec	30	1900	M	0
Dec	30	1830	M	0
Dec	30	1800	M	0
Dec	30	1730	M	0
Dec	30	1700	M	0
Dec	30	1630	M	0
Dec	30	1600	M	0
Dec	30	1530	M	0
Dec	30	1500	M	0
Dec	30	1430	M	0
Dec	30	1400	M	0
Dec	30	1330	M	0
Dec	30	1300	M	0
Dec	30	1230	M	0
Dec	30	1200	M	0
Dec	30	1130	M	0
Dec	30	1100	M	0
Dec	30	1030	M	0
Dec	30	1000	M	0
Dec	30	930	M	0
Dec	30	900	M	0
Dec	30	830	M	0
Dec	30	800	M	0
Dec	30	730	M	0
Dec	30	700	M	0
Dec	30	630	M	0
Dec	30	600	M	0
Dec	30	530	M	0
Dec	30	500	M	0
Dec	30	430	M	0
Dec	30	400	M	0
Dec	30	330	M	0
Dec	30	300	M	0
Dec	30	230	M	0
Dec	30	200	M	0
Dec	30	130	M	0
Dec	30	100	M	0
Dec	30	30	M	0
Dec	30	0	M	0
Dec	29	2330	M	0
Dec	29	2300	M	0
Dec	29	2230	M	0
Dec	29	2200	M	0
Dec	29	2130	M	0
Dec	29	2100	M	0
Dec	29	2030	M	0
Dec	29	2000	M	0
Dec	29	1930	M	0
Dec	29	1900	M	0
Dec	29	1830	M	0
Dec	29	1800	M	0
Dec	29	1730	M	0
Dec	29	1700	M	0
Dec	29	1630	M	0
Dec	29	1600	M	0
Dec	29	1530	M	0
Dec	29	1500	M	0
Dec	29	1430	M	0
Dec	29	1400	M	0
Dec	29	1330	M	0
Dec	29	1300	M	0
Dec	29	1230	M	0
Dec	29	1200	M	0
Dec	29	1130	M	0
Dec	29	1100	M	0
Dec	29	1030	M	0
Dec	29	1000	M	0
Dec	29	930	M	0
Dec	29	900	M	0
Dec	29	830	M	0
Dec	29	800	M	0
Dec	29	730	M	0
Dec	29	700	M	0
Dec	29	630	M	0
Dec	29	600	M	0
Dec	29	530	M	0
Dec	29	500	M	0
Dec	29	430	M	0
Dec	29	400	M	0
Dec	29	330	M	0
Dec	29	300	M	0
Dec	29	230	M	0
Dec	29	200	M	0
Dec	29	130	M	0
Dec	29	100	M	0
Dec	29	30	M	0
Dec	29	0	M	0
Dec	28	2330	M	0
Dec	28	2300	M	0
Dec	28	2230	M	0
Dec	28	2200	M	0
Dec	28	2130	M	0
Dec	28	2100	M	0
Dec	28	2030	M	0
Dec	28	2000	M	0
Dec	28	1930	M	0
Dec	28	1900	M	0
Dec	28	1830	M	0
Dec	28	1800	M	0
Dec	28	1730	M	0
Dec	28	1700	M	0
Dec	28	1630	M	0
Dec	28	1600	M	0
Dec	28	1530	M	0
Dec	28	1500	M	0
Dec	28	1430	M	0
Dec	28	1400	M	0
Dec	28	1330	M	0
Dec	28	1300	M	0
Dec	28	1230	M	0
Dec	28	1200	M	0
Dec	28	1130	M	0
Dec	28	1100	M	0
Dec	28	1030	M	0
Dec	28	1000	M	0
Dec	28	930	M	0
Dec	28	900	M	0
Dec	28	830	M	0
Dec	28	800	M	0
Dec	28	730	M	0
Dec	28	700	M	0
Dec	28	630	M	0
Dec	28	600	M	0
Dec	28	530	M	0
Dec	28	500	M	0
Dec	28	430	M	0
Dec	28	400	M	0
Dec	28	330	M	0
Dec	28	300	M	0
Dec	28	230	M	M
Dec	28	200	M	0
Dec	28	130	M	0
Dec	28	100	M	0
Dec	28	30	M	0
Dec	28	0	M	0
Dec	27	2330	M	0
Dec	27	2300	M	0
Dec	27	2230	M	0
Dec	27	2200	M	0
Dec	27	2130	M	0
Dec	27	2100	M	0
Dec	27	2030	M	0
Dec	27	2000	M	0
Dec	27	1930	M	0
Dec	27	1900	M	0
Dec	27	1830	M	0
Dec	27	1800	M	0
Dec	27	1730	M	0
Dec	27	1700	M	0
Dec	27	1630	M	0
Dec	27	1600	M	0
Dec	27	1530	M	0
Dec	27	1500	M	0
Dec	27	1430	M	0
Dec	27	1400	M	0
Dec	27	1330	M	0
Dec	27	1300	M	0
Dec	27	1230	M	0
Dec	27	1200	M	0
Dec	27	1130	M	0
Dec	27	1100	M	0
Dec	27	1030	M	0
Dec	27	1000	M	0
Dec	27	930	M	0
Dec	27	900	M	0
Dec	27	830	M	M
Dec	27	800	M	0
Dec	27	730	M	0
Dec	27	700	M	0
Dec	27	630	M	0
Dec	27	600	M	0
Dec	27	530	M	0
Dec	27	500	M	0
Dec	27	430	M	0
Dec	27	400	M	0
Dec	27	330	M	0
Dec	27	300	M	0
Dec	27	230	M	0
Dec	27	200	M	0
Dec	27	130	M	0
Dec	27	100	M	0
Dec	27	30	M	0
Dec	27	0	M	0
Dec	26	2330	M	0
Dec	26	2300	M	0
Dec	26	2230	M	0
Dec	26	2200	M	0
Dec	26	2130	M	0
Dec	26	2100	M	0
Dec	26	2030	M	0
Dec	26	2000	M	0
Dec	26	1930	M	0
Dec	26	1900	M	0
Dec	26	1830	M	0
Dec	26	1800	M	0
Dec	26	1730	M	0
Dec	26	1700	M	0
Dec	26	1630	M	0
Dec	26	1600	M	0
Dec	26	1530	M	0
Dec	26	1500	M	0
Dec	26	1430	M	0
Dec	26	1400	M	0
Dec	26	1330	M	0
Dec	26	1300	M	0
Dec	26	1230	M	0
Dec	26	1200	M	0
Dec	26	1130	M	0
Dec	26	1100	M	0
Dec	26	1030	M	0
Dec	26	1000	M	0
Dec	26	930	M	0
Dec	26	900	M	0
Dec	26	830	M	0
Dec	26	800	M	0
Dec	26	730	M	0
Dec	26	700	M	0
Dec	26	630	M	0
Dec	26	600	M	0
Dec	26	530	M	0
Dec	26	500	M	0
Dec	26	430	M	0
Dec	26	400	M	0
Dec	26	330	M	0
Dec	26	300	M	0
Dec	26	230	M	0
Dec	26	200	M	0
Dec	26	130	M	0
Dec	26	100	M	0
Dec	26	30	M	0
Dec	26	0	M	0
Dec	25	2330	M	0
Dec	25	2300	M	0
Dec	25	2230	M	0
Dec	25	2200	M	0
Dec	25	2130	M	0
Dec	25	2100	M	0
Dec	25	2030	M	0
Dec	25	2000	M	0
Dec	25	1930	M	0
Dec	25	1900	M	0
Dec	25	1830	M	0
Dec	25	1800	M	0
Dec	25	1730	M	0
Dec	25	1700	M	0
Dec	25	1630	M	0
Dec	25	1600	M	0
Dec	25	1530	M	0
Dec	25	1500	M	0
Dec	25	1430	M	0
Dec	25	1400	M	0
Dec	25	1330	M	0
Dec	25	1300	M	0
Dec	25	1230	M	0
Dec	25	1200	M	0
Dec	25	1130	M	0
Dec	25	1100	M	0
Dec	25	1030	M	0
Dec	25	1000	M	0
Dec	25	930	M	0
Dec	25	900	M	0
Dec	25	830	M	0
Dec	25	800	M	0
Dec	25	730	M	0
Dec	25	700	M	0
Dec	25	630	M	0
Dec	25	600	M	0
Dec	25	530	M	0
Dec	25	500	M	0
Dec	25	430	M	0
Dec	25	400	M	0
Dec	25	330	M	0
Dec	25	300	M	0
Dec	25	230	M	0
Dec	25	200	M	0
Dec	25	130	M	0
Dec	25	100	M	0
Dec	25	30	M	0
Dec	25	0	M	0
Dec	24	2330	M	0
Dec	24	2300	M	0
Dec	24	2230	M	0
Dec	24	2200	M	0
Dec	24	2130	M	0
Dec	24	2100	M	0
Dec	24	2030	M	0
Dec	24	2000	M	0
Dec	24	1930	M	0
Dec	24	1900	M	0
Dec	24	1830	M	0
Dec	24	1800	M	0
Dec	24	1730	M	0
Dec	24	1700	M	0
Dec	24	1630	M	0
Dec	24	1600	M	0
Dec	24	1530	M	0
Dec	24	1500	M	0
Dec	24	1430	M	0
Dec	24	1400	M	0
Dec	24	1330	M	0
Dec	24	1300	M	0
Dec	24	1230	M	0
Dec	24	1200	M	0
Dec	24	1130	M	0
Dec	24	1100	M	0
Dec	24	1030	M	0
Dec	24	1000	M	0
Dec	24	930	M	0
Dec	24	900	M	0
Dec	24	830	M	0
Dec	24	800	M	0
Dec	24	730	M	0
Dec	24	700	M	0
Dec	24	630	M	0
Dec	24	600	M	0
Dec	24	530	M	0
Dec	24	500	M	0
